id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
08;Carabobo;bejuma;0801;20538;0;14946;5114;174;38;42;99;9;30;51;35;478;72,77242185;24,90018502;2,327393125
08;Carabobo;carlos arvelo;0802;47196;2;28271;17315;508;182;130;305;82;69;133;201;1610;59,90126282;36,68743114;3,411306043
08;Carabobo;diego ibarra;0803;32846;8;19391;12357;279;127;107;231;45;48;89;172;1098;59,0361079;37,6210193;3,3428728
08;Carabobo;guacara;0804;61502;9;44120;15683;373;266;108;423;56;52;118;303;1699;71,73750447;25,49998374;2,762511788
08;Carabobo;juan jose mora;0805;32650;1;18808;12859;319;98;82;210;38;46;79;111;983;57,60490046;39,38437979;3,010719755
08;Carabobo;libertador;0806;2425;0;1295;1030;30;20;9;17;7;1;8;8;100;53,40206186;42,4742268;4,12371134
08;Carabobo;los guayos;0807;43846;4;30333;11879;416;333;98;289;79;45;113;261;1634;69,18076906;27,0925512;3,726679743
08;Carabobo;miranda;0808;12024;0;8224;3532;73;20;26;66;12;18;28;25;268;68,39654025;29,37458417;2,228875582
08;Carabobo;montalban;0809;12636;0;8937;3395;100;16;21;67;15;15;33;37;304;70,72649573;26,86767965;2,405824628
08;Carabobo;naguanagua;0810;48578;6;37298;9925;374;182;68;293;48;36;98;256;1355;76,77961217;20,43105933;2,789328503
08;Carabobo;puerto cabello;0811;43966;2;31285;11393;341;100;112;336;60;60;130;149;1288;71,15725788;25,91320566;2,92953646
08;Carabobo;san diego;0812;39277;0;32586;5844;156;216;41;158;39;21;50;166;847;82,96458487;14,87893678;2,156478346
08;Carabobo;san joaquin;0813;14716;2;10055;4322;93;39;33;75;16;12;18;53;339;68,32699103;29,36939386;2,303615113
